Species	Inflation	Paralog.type	Gene.count
DYSSIL	1e-20	Proximal	905
DYSSIL	1e-20	Tandem	1734
DYSSIL	1e-20	WGD	77
ECTDAV	1e-20	Singleton	13646
ECTDAV	1e-20	Dispersed	8466
ECTDAV	1e-20	Proximal	1936
ECTDAV	1e-20	Tandem	3304
ECTDAV	1e-20	WGD	354
HYLGRA	1e-20	Singleton	11589
HYLGRA	1e-20	Dispersed	9124
HYLGRA	1e-20	Proximal	3405
HYLGRA	1e-20	Tandem	4264
HYLGRA	1e-20	WGD	4049
ULODIV	1e-20	Singleton	10982
ULODIV	1e-20	Dispersed	12310
ULODIV	1e-20	Proximal	2384
ULODIV	1e-20	Tandem	2358
ULODIV	1e-20	WGD	1185
OEDGIB	1e-20	Singleton	10915
OEDGIB	1e-20	Dispersed	5886
OEDGIB	1e-20	Proximal	800
OEDGIB	1e-20	Tandem	1419
OEDGIB	1e-20	WGD	96
LATELE	1e-20	Singleton	19159
LATELE	1e-20	Dispersed	10634
LATELE	1e-20	Proximal	1571
LATELE	1e-20	Tandem	2383
LATELE	1e-20	WGD	1909
PARTEP	1e-20	Singleton	10169
PARTEP	1e-20	Dispersed	8889
PARTEP	1e-20	Proximal	1575
PARTEP	1e-20	Tandem	3504
PARTEP	1e-20	WGD	133
ARGBRU	1e-20	Singleton	16037
ARGBRU	1e-20	Dispersed	9067
ARGBRU	1e-20	Proximal	1859
ARGBRU	1e-20	Tandem	3941
ARGBRU	1e-20	WGD	1151
TRIANT	1e-20	Singleton	10341
TRIANT	1e-20	Dispersed	9708
TRIANT	1e-20	Proximal	1403
TRIANT	1e-20	Tandem	3130
TRIANT	1e-20	WGD	580
TRICLA	1e-20	Singleton	12726
TRICLA	1e-20	Dispersed	13394
TRICLA	1e-20	Proximal	3608
TRICLA	1e-20	Tandem	4424
TRICLA	1e-20	WGD	5528
CARROT	1e-20	Singleton	11563
CARROT	1e-20	Dispersed	7705
CARROT	1e-20	Proximal	1177
CARROT	1e-20	Tandem	1791
CARROT	1e-20	WGD	7141
TACGIG	1e-20	Singleton	22273
TACGIG	1e-20	Dispersed	9979
TACGIG	1e-20	Proximal	1217
TACGIG	1e-20	Tandem	1990
TACGIG	1e-20	WGD	9055
